time,time (hours,cost,sequence
"21 days, 7 hours",511,64850,"[480, 24, 3, 3, 1]"
"21 days, 8 hours",512,64900,"[480, 24, 8]"
"21 days, 9 hours",513,65150,"[480, 24, 8, 1]"
"21 days, 10 hours",514,65400,"[480, 24, 8, 1, 1]"
"21 days, 11 hours",515,65650,"[480, 24, 8, 3]"
"21 days, 12 hours",516,65900,"[480, 24, 8, 3, 1]"
"21 days, 13 hours",517,66150,"[480, 24, 8, 3, 1, 1]"
"21 days, 14 hours",518,66400,"[480, 24, 8, 3, 3]"
"21 days, 15 hours",519,66650,"[480, 24, 8, 3, 3, 1]"
"21 days, 16 hours",520,66700,"[480, 24, 8, 8]"
"21 days, 17 hours",521,66950,"[480, 24, 8, 8, 1]"
"21 days, 18 hours",522,67200,"[480, 24, 8, 8, 1, 1]"
"21 days, 19 hours",523,67450,"[480, 24, 8, 8, 3]"
"21 days, 20 hours",524,67700,"[480, 24, 8, 8, 3, 1]"
"21 days, 21 hours",525,67900,"[480, 24, 24]"
"21 days, 22 hours",526,67900,"[480, 24, 24]"
"21 days, 23 hours",527,67900,"[480, 24, 24]"
"22 days, 0 hours",528,67900,"[480, 24, 24]"
"22 days, 1 hours",529,68150,"[480, 24, 24, 1]"
"22 days, 2 hours",530,68400,"[480, 24, 24, 1, 1]"
"22 days, 3 hours",531,68650,"[480, 24, 24, 3]"
"22 days, 4 hours",532,68900,"[480, 24, 24, 3, 1]"
"22 days, 5 hours",533,69150,"[480, 24, 24, 3, 1, 1]"
"22 days, 6 hours",534,69400,"[480, 24, 24, 3, 3]"
"22 days, 7 hours",535,69650,"[480, 24, 24, 3, 3, 1]"
"22 days, 8 hours",536,69700,"[480, 24, 24, 8]"
"22 days, 9 hours",537,69950,"[480, 24, 24, 8, 1]"
"22 days, 10 hours",538,70200,"[480, 24, 24, 8, 1, 1]"
"22 days, 11 hours",539,70300,"[480, 72]"
"22 days, 12 hours",540,70300,"[480, 72]"
"22 days, 13 hours",541,70300,"[480, 72]"
"22 days, 14 hours",542,70300,"[480, 72]"
"22 days, 15 hours",543,70300,"[480, 72]"
"22 days, 16 hours",544,70300,"[480, 72]"
"22 days, 17 hours",545,70300,"[480, 72]"
"22 days, 18 hours",546,70300,"[480, 72]"
"22 days, 19 hours",547,70300,"[480, 72]"
"22 days, 20 hours",548,70300,"[480, 72]"
"22 days, 21 hours",549,70300,"[480, 72]"
"22 days, 22 hours",550,70300,"[480, 72]"
"22 days, 23 hours",551,70300,"[480, 72]"
"23 days, 0 hours",552,70300,"[480, 72]"
"23 days, 1 hours",553,70550,"[480, 72, 1]"
"23 days, 2 hours",554,70800,"[480, 72, 1, 1]"
"23 days, 3 hours",555,71050,"[480, 72, 3]"
"23 days, 4 hours",556,71300,"[480, 72, 3, 1]"
"23 days, 5 hours",557,71550,"[480, 72, 3, 1, 1]"
"23 days, 6 hours",558,71800,"[480, 72, 3, 3]"
"23 days, 7 hours",559,72050,"[480, 72, 3, 3, 1]"
"23 days, 8 hours",560,72100,"[480, 72, 8]"
"23 days, 9 hours",561,72350,"[480, 72, 8, 1]"
"23 days, 10 hours",562,72600,"[480, 72, 8, 1, 1]"
"23 days, 11 hours",563,72850,"[480, 72, 8, 3]"
"23 days, 12 hours",564,73100,"[480, 72, 8, 3, 1]"
"23 days, 13 hours",565,73350,"[480, 72, 8, 3, 1, 1]"
"23 days, 14 hours",566,73600,"[480, 72, 8, 3, 3]"
"23 days, 15 hours",567,73850,"[480, 72, 8, 3, 3, 1]"
"23 days, 16 hours",568,73900,"[480, 72, 8, 8]"
"23 days, 17 hours",569,74150,"[480, 72, 8, 8, 1]"
"23 days, 18 hours",570,74400,"[480, 72, 8, 8, 1, 1]"
"23 days, 19 hours",571,74650,"[480, 72, 8, 8, 3]"
"23 days, 20 hours",572,74900,"[480, 72, 8, 8, 3, 1]"
"23 days, 21 hours",573,75100,"[480, 72, 24]"
"23 days, 22 hours",574,75100,"[480, 72, 24]"
"23 days, 23 hours",575,75100,"[480, 72, 24]"
"24 days, 0 hours",576,75100,"[480, 72, 24]"
"24 days, 1 hours",577,75350,"[480, 72, 24, 1]"
"24 days, 2 hours",578,75600,"[480, 72, 24, 1, 1]"
"24 days, 3 hours",579,75850,"[480, 72, 24, 3]"
"24 days, 4 hours",580,76100,"[480, 72, 24, 3, 1]"
"24 days, 5 hours",581,76350,"[480, 72, 24, 3, 1, 1]"
"24 days, 6 hours",582,76600,"[480, 72, 24, 3, 3]"
"24 days, 7 hours",583,76850,"[480, 72, 24, 3, 3, 1]"
"24 days, 8 hours",584,76900,"[480, 72, 24, 8]"
"24 days, 9 hours",585,77150,"[480, 72, 24, 8, 1]"
"24 days, 10 hours",586,77400,"[480, 72, 24, 8, 1, 1]"
"24 days, 11 hours",587,77650,"[480, 72, 24, 8, 3]"
"24 days, 12 hours",588,77900,"[480, 72, 24, 8, 3, 1]"
"24 days, 13 hours",589,78150,"[480, 72, 24, 8, 3, 1, 1]"
"24 days, 14 hours",590,78400,"[480, 72, 24, 8, 3, 3]"
"24 days, 15 hours",591,78650,"[480, 72, 24, 8, 3, 3, 1]"
"24 days, 16 hours",592,78700,"[480, 72, 24, 8, 8]"
"24 days, 17 hours",593,78950,"[480, 72, 24, 8, 8, 1]"
"24 days, 18 hours",594,79200,"[480, 72, 24, 8, 8, 1, 1]"
"24 days, 19 hours",595,79450,"[480, 72, 24, 8, 8, 3]"
"24 days, 20 hours",596,79700,"[480, 72, 24, 8, 8, 3, 1]"
"24 days, 21 hours",597,79900,"[480, 72, 24, 24]"
"24 days, 22 hours",598,79900,"[480, 72, 24, 24]"
"24 days, 23 hours",599,79900,"[480, 72, 24, 24]"
"25 days, 0 hours",600,79900,"[480, 72, 24, 24]"
"25 days, 1 hours",601,80000,[720]
"25 days, 2 hours",602,80000,[720]
"25 days, 3 hours",603,80000,[720]
"25 days, 4 hours",604,80000,[720]
"25 days, 5 hours",605,80000,[720]
"25 days, 6 hours",606,80000,[720]
"25 days, 7 hours",607,80000,[720]
"25 days, 8 hours",608,80000,[720]
"25 days, 9 hours",609,80000,[720]
"25 days, 10 hours",610,80000,[720]
"25 days, 11 hours",611,80000,[720]
"25 days, 12 hours",612,80000,[720]
"25 days, 13 hours",613,80000,[720]
"25 days, 14 hours",614,80000,[720]
"25 days, 15 hours",615,80000,[720]
"25 days, 16 hours",616,80000,[720]
"25 days, 17 hours",617,80000,[720]
"25 days, 18 hours",618,80000,[720]
"25 days, 19 hours",619,80000,[720]
"25 days, 20 hours",620,80000,[720]
"25 days, 21 hours",621,80000,[720]
"25 days, 22 hours",622,80000,[720]
"25 days, 23 hours",623,80000,[720]
"26 days, 0 hours",624,80000,[720]
"26 days, 1 hours",625,80000,[720]
"26 days, 2 hours",626,80000,[720]
"26 days, 3 hours",627,80000,[720]
"26 days, 4 hours",628,80000,[720]
"26 days, 5 hours",629,80000,[720]
"26 days, 6 hours",630,80000,[720]
"26 days, 7 hours",631,80000,[720]
"26 days, 8 hours",632,80000,[720]
"26 days, 9 hours",633,80000,[720]
"26 days, 10 hours",634,80000,[720]
"26 days, 11 hours",635,80000,[720]
"26 days, 12 hours",636,80000,[720]
"26 days, 13 hours",637,80000,[720]
"26 days, 14 hours",638,80000,[720]
"26 days, 15 hours",639,80000,[720]
"26 days, 16 hours",640,80000,[720]
"26 days, 17 hours",641,80000,[720]
"26 days, 18 hours",642,80000,[720]
"26 days, 19 hours",643,80000,[720]
"26 days, 20 hours",644,80000,[720]
"26 days, 21 hours",645,80000,[720]
"26 days, 22 hours",646,80000,[720]
"26 days, 23 hours",647,80000,[720]
"27 days, 0 hours",648,80000,[720]
"27 days, 1 hours",649,80000,[720]
"27 days, 2 hours",650,80000,[720]
"27 days, 3 hours",651,80000,[720]
"27 days, 4 hours",652,80000,[720]
"27 days, 5 hours",653,80000,[720]
"27 days, 6 hours",654,80000,[720]
"27 days, 7 hours",655,80000,[720]
"27 days, 8 hours",656,80000,[720]
"27 days, 9 hours",657,80000,[720]
"27 days, 10 hours",658,80000,[720]
"27 days, 11 hours",659,80000,[720]
"27 days, 12 hours",660,80000,[720]
"27 days, 13 hours",661,80000,[720]
"27 days, 14 hours",662,80000,[720]
"27 days, 15 hours",663,80000,[720]
"27 days, 16 hours",664,80000,[720]
"27 days, 17 hours",665,80000,[720]
"27 days, 18 hours",666,80000,[720]
"27 days, 19 hours",667,80000,[720]
"27 days, 20 hours",668,80000,[720]
"27 days, 21 hours",669,80000,[720]
"27 days, 22 hours",670,80000,[720]
"27 days, 23 hours",671,80000,[720]
"28 days, 0 hours",672,80000,[720]
"28 days, 1 hours",673,80000,[720]
"28 days, 2 hours",674,80000,[720]
"28 days, 3 hours",675,80000,[720]
"28 days, 4 hours",676,80000,[720]
"28 days, 5 hours",677,80000,[720]
"28 days, 6 hours",678,80000,[720]
"28 days, 7 hours",679,80000,[720]
"28 days, 8 hours",680,80000,[720]
"28 days, 9 hours",681,80000,[720]
"28 days, 10 hours",682,80000,[720]
"28 days, 11 hours",683,80000,[720]
"28 days, 12 hours",684,80000,[720]
"28 days, 13 hours",685,80000,[720]
"28 days, 14 hours",686,80000,[720]
"28 days, 15 hours",687,80000,[720]
"28 days, 16 hours",688,80000,[720]
"28 days, 17 hours",689,80000,[720]
"28 days, 18 hours",690,80000,[720]
"28 days, 19 hours",691,80000,[720]
"28 days, 20 hours",692,80000,[720]
"28 days, 21 hours",693,80000,[720]
"28 days, 22 hours",694,80000,[720]
"28 days, 23 hours",695,80000,[720]
"29 days, 0 hours",696,80000,[720]
"29 days, 1 hours",697,80000,[720]
"29 days, 2 hours",698,80000,[720]
"29 days, 3 hours",699,80000,[720]
"29 days, 4 hours",700,80000,[720]
"29 days, 5 hours",701,80000,[720]
"29 days, 6 hours",702,80000,[720]
"29 days, 7 hours",703,80000,[720]
"29 days, 8 hours",704,80000,[720]
"29 days, 9 hours",705,80000,[720]
"29 days, 10 hours",706,80000,[720]
"29 days, 11 hours",707,80000,[720]
"29 days, 12 hours",708,80000,[720]
"29 days, 13 hours",709,80000,[720]
"29 days, 14 hours",710,80000,[720]
"29 days, 15 hours",711,80000,[720]
"29 days, 16 hours",712,80000,[720]
"29 days, 17 hours",713,80000,[720]
"29 days, 18 hours",714,80000,[720]
"29 days, 19 hours",715,80000,[720]
"29 days, 20 hours",716,80000,[720]
"29 days, 21 hours",717,80000,[720]
"29 days, 22 hours",718,80000,[720]
"29 days, 23 hours",719,80000,[720]
"30 days, 0 hours",720,80000,[720]
"30 days, 1 hours",721,80250,"[720, 1]"
"30 days, 2 hours",722,80500,"[720, 1, 1]"
"30 days, 3 hours",723,80750,"[720, 3]"
"30 days, 4 hours",724,81000,"[720, 3, 1]"
"30 days, 5 hours",725,81250,"[720, 3, 1, 1]"
"30 days, 6 hours",726,81500,"[720, 3, 3]"
"30 days, 7 hours",727,81750,"[720, 3, 3, 1]"
"30 days, 8 hours",728,81800,"[720, 8]"
"30 days, 9 hours",729,82050,"[720, 8, 1]"
"30 days, 10 hours",730,82300,"[720, 8, 1, 1]"
"30 days, 11 hours",731,82550,"[720, 8, 3]"
"30 days, 12 hours",732,82800,"[720, 8, 3, 1]"
"30 days, 13 hours",733,83050,"[720, 8, 3, 1, 1]"
"30 days, 14 hours",734,83300,"[720, 8, 3, 3]"
"30 days, 15 hours",735,83550,"[720, 8, 3, 3, 1]"
"30 days, 16 hours",736,83600,"[720, 8, 8]"
"30 days, 17 hours",737,83850,"[720, 8, 8, 1]"
"30 days, 18 hours",738,84100,"[720, 8, 8, 1, 1]"
"30 days, 19 hours",739,84350,"[720, 8, 8, 3]"
"30 days, 20 hours",740,84600,"[720, 8, 8, 3, 1]"
"30 days, 21 hours",741,84800,"[720, 24]"
"30 days, 22 hours",742,84800,"[720, 24]"
"30 days, 23 hours",743,84800,"[720, 24]"
"31 days, 0 hours",744,84800,"[720, 24]"
"31 days, 1 hours",745,85050,"[720, 24, 1]"
"31 days, 2 hours",746,85300,"[720, 24, 1, 1]"
"31 days, 3 hours",747,85550,"[720, 24, 3]"
"31 days, 4 hours",748,85800,"[720, 24, 3, 1]"
"31 days, 5 hours",749,86050,"[720, 24, 3, 1, 1]"
"31 days, 6 hours",750,86300,"[720, 24, 3, 3]"
"31 days, 7 hours",751,86550,"[720, 24, 3, 3, 1]"
"31 days, 8 hours",752,86600,"[720, 24, 8]"
"31 days, 9 hours",753,86850,"[720, 24, 8, 1]"
"31 days, 10 hours",754,87100,"[720, 24, 8, 1, 1]"
"31 days, 11 hours",755,87350,"[720, 24, 8, 3]"
"31 days, 12 hours",756,87600,"[720, 24, 8, 3, 1]"
"31 days, 13 hours",757,87850,"[720, 24, 8, 3, 1, 1]"
"31 days, 14 hours",758,88100,"[720, 24, 8, 3, 3]"
"31 days, 15 hours",759,88350,"[720, 24, 8, 3, 3, 1]"
"31 days, 16 hours",760,88400,"[720, 24, 8, 8]"
"31 days, 17 hours",761,88650,"[720, 24, 8, 8, 1]"
"31 days, 18 hours",762,88900,"[720, 24, 8, 8, 1, 1]"
"31 days, 19 hours",763,89150,"[720, 24, 8, 8, 3]"
"31 days, 20 hours",764,89400,"[720, 24, 8, 8, 3, 1]"
"31 days, 21 hours",765,89600,"[720, 24, 24]"
"31 days, 22 hours",766,89600,"[720, 24, 24]"
"31 days, 23 hours",767,89600,"[720, 24, 24]"
"32 days, 0 hours",768,89600,"[720, 24, 24]"
"32 days, 1 hours",769,89850,"[720, 24, 24, 1]"
"32 days, 2 hours",770,90100,"[720, 24, 24, 1, 1]"
"32 days, 3 hours",771,90350,"[720, 24, 24, 3]"
"32 days, 4 hours",772,90600,"[720, 24, 24, 3, 1]"
"32 days, 5 hours",773,90850,"[720, 24, 24, 3, 1, 1]"
"32 days, 6 hours",774,91100,"[720, 24, 24, 3, 3]"
"32 days, 7 hours",775,91350,"[720, 24, 24, 3, 3, 1]"
"32 days, 8 hours",776,91400,"[720, 24, 24, 8]"
"32 days, 9 hours",777,91650,"[720, 24, 24, 8, 1]"
"32 days, 10 hours",778,91900,"[720, 24, 24, 8, 1, 1]"
"32 days, 11 hours",779,92000,"[720, 72]"
"32 days, 12 hours",780,92000,"[720, 72]"
"32 days, 13 hours",781,92000,"[720, 72]"
"32 days, 14 hours",782,92000,"[720, 72]"
"32 days, 15 hours",783,92000,"[720, 72]"
"32 days, 16 hours",784,92000,"[720, 72]"
"32 days, 17 hours",785,92000,"[720, 72]"
"32 days, 18 hours",786,92000,"[720, 72]"
"32 days, 19 hours",787,92000,"[720, 72]"
"32 days, 20 hours",788,92000,"[720, 72]"
"32 days, 21 hours",789,92000,"[720, 72]"
"32 days, 22 hours",790,92000,"[720, 72]"
"32 days, 23 hours",791,92000,"[720, 72]"
"33 days, 0 hours",792,92000,"[720, 72]"
"33 days, 1 hours",793,92250,"[720, 72, 1]"
"33 days, 2 hours",794,92500,"[720, 72, 1, 1]"
"33 days, 3 hours",795,92750,"[720, 72, 3]"
"33 days, 4 hours",796,93000,"[720, 72, 3, 1]"
"33 days, 5 hours",797,93250,"[720, 72, 3, 1, 1]"
"33 days, 6 hours",798,93500,"[720, 72, 3, 3]"
"33 days, 7 hours",799,93750,"[720, 72, 3, 3, 1]"
"33 days, 8 hours",800,93800,"[720, 72, 8]"
"33 days, 9 hours",801,94050,"[720, 72, 8, 1]"
"33 days, 10 hours",802,94300,"[720, 72, 8, 1, 1]"
"33 days, 11 hours",803,94550,"[720, 72, 8, 3]"
"33 days, 12 hours",804,94800,"[720, 72, 8, 3, 1]"
"33 days, 13 hours",805,95050,"[720, 72, 8, 3, 1, 1]"
"33 days, 14 hours",806,95300,"[720, 72, 8, 3, 3]"
"33 days, 15 hours",807,95550,"[720, 72, 8, 3, 3, 1]"
"33 days, 16 hours",808,95600,"[720, 72, 8, 8]"
"33 days, 17 hours",809,95850,"[720, 72, 8, 8, 1]"
"33 days, 18 hours",810,96100,"[720, 72, 8, 8, 1, 1]"
"33 days, 19 hours",811,96350,"[720, 72, 8, 8, 3]"
"33 days, 20 hours",812,96600,"[720, 72, 8, 8, 3, 1]"
"33 days, 21 hours",813,96800,"[720, 72, 24]"
"33 days, 22 hours",814,96800,"[720, 72, 24]"
"33 days, 23 hours",815,96800,"[720, 72, 24]"
"34 days, 0 hours",816,96800,"[720, 72, 24]"
"34 days, 1 hours",817,97050,"[720, 72, 24, 1]"
"34 days, 2 hours",818,97300,"[720, 72, 24, 1, 1]"
"34 days, 3 hours",819,97550,"[720, 72, 24, 3]"
"34 days, 4 hours",820,97800,"[720, 72, 24, 3, 1]"
"34 days, 5 hours",821,98050,"[720, 72, 24, 3, 1, 1]"
"34 days, 6 hours",822,98300,"[720, 72, 24, 3, 3]"
"34 days, 7 hours",823,98550,"[720, 72, 24, 3, 3, 1]"
"34 days, 8 hours",824,98600,"[720, 72, 24, 8]"
"34 days, 9 hours",825,98850,"[720, 72, 24, 8, 1]"
"34 days, 10 hours",826,99100,"[720, 72, 24, 8, 1, 1]"
"34 days, 11 hours",827,99350,"[720, 72, 24, 8, 3]"
"34 days, 12 hours",828,99600,"[720, 72, 24, 8, 3, 1]"
"34 days, 13 hours",829,99850,"[720, 72, 24, 8, 3, 1, 1]"
"34 days, 14 hours",830,100100,"[720, 72, 24, 8, 3, 3]"
"34 days, 15 hours",831,100350,"[720, 72, 24, 8, 3, 3, 1]"
"34 days, 16 hours",832,100400,"[720, 72, 24, 8, 8]"
"34 days, 17 hours",833,100650,"[720, 72, 24, 8, 8, 1]"
"34 days, 18 hours",834,100900,"[720, 72, 24, 8, 8, 1, 1]"
"34 days, 19 hours",835,101150,"[720, 72, 24, 8, 8, 3]"
"34 days, 20 hours",836,101400,"[720, 72, 24, 8, 8, 3, 1]"
"34 days, 21 hours",837,101600,"[720, 72, 24, 24]"
"34 days, 22 hours",838,101600,"[720, 72, 24, 24]"
"34 days, 23 hours",839,101600,"[720, 72, 24, 24]"
"35 days, 0 hours",840,101600,"[720, 72, 24, 24]"
"35 days, 1 hours",841,101850,"[720, 72, 24, 24, 1]"
"35 days, 2 hours",842,102100,"[720, 72, 24, 24, 1, 1]"
"35 days, 3 hours",843,102350,"[720, 72, 24, 24, 3]"
"35 days, 4 hours",844,102600,"[720, 72, 24, 24, 3, 1]"
"35 days, 5 hours",845,102850,"[720, 72, 24, 24, 3, 1, 1]"
"35 days, 6 hours",846,103100,"[720, 72, 24, 24, 3, 3]"
"35 days, 7 hours",847,103350,"[720, 72, 24, 24, 3, 3, 1]"
"35 days, 8 hours",848,103400,"[720, 72, 24, 24, 8]"
"35 days, 9 hours",849,103650,"[720, 72, 24, 24, 8, 1]"
"35 days, 10 hours",850,103900,"[720, 72, 24, 24, 8, 1, 1]"
"35 days, 11 hours",851,104000,"[720, 72, 72]"
"35 days, 12 hours",852,104000,"[720, 72, 72]"
"35 days, 13 hours",853,104000,"[720, 72, 72]"
"35 days, 14 hours",854,104000,"[720, 72, 72]"
"35 days, 15 hours",855,104000,"[720, 72, 72]"
"35 days, 16 hours",856,104000,"[720, 72, 72]"
"35 days, 17 hours",857,104000,"[720, 72, 72]"
"35 days, 18 hours",858,104000,"[720, 72, 72]"
"35 days, 19 hours",859,104000,"[720, 72, 72]"
"35 days, 20 hours",860,104000,"[720, 72, 72]"
